2022-07-07 01:13:50 [DEBUG] TCP Server Start Up [Main]
2022-07-07 01:14:01 [DEBUG] Client Connected!
2022-07-07 01:14:58 [DEBUG] TCP Server Start Up [Main]
2022-07-07 01:15:06 [DEBUG] Client Connected!
2022-07-07 01:25:54 [DEBUG] Client Connected!
2022-07-07 01:26:28 [ERROR] ReadMsg: System.IO.IOException: Unable to read data from the transport connection: 遠端主機已強制關閉一個現存的連線。.
 ---> System.Net.Sockets.SocketException (10054): 遠端主機已強制關閉一個現存的連線。
   --- End of inner exception stack trace ---
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken)
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token)
   at System.Threading.Tasks.ValueTask`1.ValueTaskSourceAsTask.<>c.<.cctor>b__4_0(Object state)
--- End of stack trace from previous location ---
   at Network.NetClient.Read() in C:\Users\Keith\Documents\Project\C#\CSharp_ServerBase\GameServer\GameServer\Network\Client\NetClient.cs:line 54
2022-07-07 01:48:45 [DEBUG] Client Connected!
2022-07-07 01:49:44 [DEBUG] Client Connected!
2022-07-07 12:28:43 [DEBUG] TCP Server Start Up [Main]
2022-07-07 12:40:18 [DEBUG] TCP Server Start Up [Main]
2022-07-07 12:40:27 [DEBUG] Client Connected!
2022-07-07 13:18:52 [DEBUG] TCP Server Start Up [Main]
2022-07-07 13:19:05 [DEBUG] Client Connected!
2022-07-07 13:19:44 [ERROR] ReadMsg: System.IO.IOException: Unable to read data from the transport connection: 遠端主機已強制關閉一個現存的連線。.
 ---> System.Net.Sockets.SocketException (10054): 遠端主機已強制關閉一個現存的連線。
   --- End of inner exception stack trace ---
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken)
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token)
   at System.Threading.Tasks.ValueTask`1.ValueTaskSourceAsTask.<>c.<.cctor>b__4_0(Object state)
--- End of stack trace from previous location ---
   at Network.NetClient.Read() in C:\Users\Keith\Documents\Project\C#\CSharp_ServerBase\GameServer\GameServer\Network\Client\NetClient.cs:line 54
2022-07-07 13:21:33 [DEBUG] Client Connected!
2022-07-07 13:28:24 [DEBUG] TCP Server Start Up [Main]
2022-07-07 13:28:59 [DEBUG] Client Connected!
2022-07-07 14:02:03 [DEBUG] TCP Server Start Up [Main]
2022-07-07 14:02:25 [DEBUG] Client Connected!
2022-07-07 14:05:48 [DEBUG] Client Connected!
2022-07-07 14:10:50 [DEBUG] Client Connected!
2022-07-07 14:13:33 [DEBUG] Client Connected!
2022-07-07 14:20:08 [DEBUG] TCP Server Start Up [Main]
2022-07-07 14:20:25 [DEBUG] Client Connected!
2022-07-07 14:26:10 [DEBUG] TCP Server Start Up [Main]
2022-07-07 14:26:51 [DEBUG] Client Connected!
2022-07-07 14:39:52 [ERROR] ReadMsg: System.IO.IOException: Unable to read data from the transport connection: 遠端主機已強制關閉一個現存的連線。.
 ---> System.Net.Sockets.SocketException (10054): 遠端主機已強制關閉一個現存的連線。
   at System.Net.Sockets.NetworkStream.Read(Byte[] buffer, Int32 offset, Int32 count)
   --- End of inner exception stack trace ---
   at System.Net.Sockets.NetworkStream.Read(Byte[] buffer, Int32 offset, Int32 count)
   at Network.NetClient.Read() in C:\Users\Keith\Documents\Project\C#\CSharp_ServerBase\GameServer\GameServer\Network\Client\NetClient.cs:line 54
2022-07-07 15:38:25 [DEBUG] TCP Server Start Up [Main]
2022-07-07 15:41:23 [DEBUG] TCP Server Start Up [Main]
2022-07-07 15:41:33 [DEBUG] Client Connected!
2022-07-07 15:41:35 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:37 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:39 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:41 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:43 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:45 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:47 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:49 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:51 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:53 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:55 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:57 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:41:59 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:01 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:03 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:05 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:07 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:10 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:12 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:14 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:16 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:18 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:20 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:22 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:24 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:26 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:28 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:30 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:32 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:34 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:36 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:38 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:40 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:42 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:44 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:46 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:48 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:50 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:52 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:54 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:56 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:42:58 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:00 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:02 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:04 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:06 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:08 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:10 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:12 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:14 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:16 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:18 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:20 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:22 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:24 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:26 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:28 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:30 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:32 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:34 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:36 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:38 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:40 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:42 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:44 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:46 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:48 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:50 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:52 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:54 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:56 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:43:58 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:00 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:02 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:04 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:06 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:08 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:10 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:44:12 [DEBUG] Received Packet ID[Heartbeat]
